box,date,time,pick_time
573,2014-01-06,23:40:23.174972,11816.388000
574,2014-01-06,23:40:34.608335,11433.363000
575,2014-01-06,23:40:46.222678,11614.343000
576,2014-01-06,23:40:56.683028,10460.350000
577,2014-01-06,23:41:08.049410,11366.382000
578,2014-01-06,23:43:51.286174,10307.809000
579,2014-01-06,23:44:01.230532,9944.358000
580,2014-01-06,23:44:10.256217,9025.685000
581,2014-01-06,23:44:19.990267,9734.050000
582,2014-01-06,23:44:30.164256,10173.989000
583,2014-01-06,23:44:40.122730,9958.474000
584,2014-01-06,23:44:50.411833,10289.103000
585,2014-01-07,00:42:58.793800,10212.424000
586,2014-01-07,00:43:10.197291,11403.491000
587,2014-01-07,00:43:21.839023,11641.732000
588,2014-01-07,00:43:31.088147,9249.124000
589,2014-01-07,00:43:39.784879,8696.732000
590,2014-01-07,00:43:49.011561,9226.682000
591,2014-01-07,00:43:58.763555,9751.994000
592,2014-01-07,00:44:08.156747,9393.192000
593,2014-01-07,00:44:17.139708,8982.961000
594,2014-01-07,00:46:09.411272,9070.355000
595,2014-01-07,00:46:18.669144,9257.872000
596,2014-01-07,00:46:28.511510,9842.366000
597,2014-01-07,00:46:38.610171,10098.661000
598,2014-01-07,00:46:47.822687,9212.516000
599,2014-01-07,00:48:21.253279,10190.392000
600,2014-01-07,01:12:55.552770,9828.726000
601,2014-01-07,18:38:26.870985,34808.914000
602,2014-01-07,18:38:39.942207,13071.222000
603,2014-01-07,20:46:31.243918,9232.823000
604,2014-01-07,20:46:42.129527,10885.609000
605,2014-01-07,20:46:51.317802,9188.275000
606,2014-01-07,20:47:01.981307,10663.505000
607,2014-01-07,20:47:13.591667,11610.360000
608,2014-01-07,20:47:23.556079,9964.412000
609,2014-01-07,20:47:34.718525,11162.446000
610,2014-01-07,20:47:45.678862,10960.337000
611,2014-01-07,20:47:55.822449,10143.587000
612,2014-01-07,20:48:04.975170,9152.721000
613,2014-01-07,20:48:15.099764,10124.594000
614,2014-01-07,20:48:28.371748,13271.984000
615,2014-01-07,20:48:39.059072,10687.324000
616,2014-01-07,20:48:48.739801,9680.729000
617,2014-01-07,20:48:58.662170,9922.369000
618,2014-01-07,20:49:14.540958,15878.788000
619,2014-01-07,20:49:24.214698,9673.740000
620,2014-01-07,20:49:34.479039,10264.341000
621,2014-01-07,20:49:46.270493,11791.454000
622,2014-01-07,20:49:59.915311,13644.818000
623,2014-01-07,20:50:09.714930,9799.619000
624,2014-01-07,20:50:52.936592,43221.662000
625,2014-01-07,20:51:03.787161,10850.569000
626,2014-01-07,20:51:15.579415,11792.254000
627,2014-01-07,20:51:27.468827,11889.412000
628,2014-01-07,20:51:37.643198,10174.371000
629,2014-01-07,20:54:56.796339,199153.141000
630,2014-01-07,20:55:06.665777,9869.438000
631,2014-01-07,20:55:17.119280,10453.503000
632,2014-01-07,20:55:29.515394,12396.114000
633,2014-01-07,20:55:40.501343,10985.949000
634,2014-01-07,20:55:50.220783,9719.440000
635,2014-01-07,20:56:02.387820,12167.037000
636,2014-01-07,20:56:14.050085,11662.265000
637,2014-01-07,20:56:24.050487,10000.402000
638,2014-01-07,20:56:35.695795,11645.308000
639,2014-01-07,20:56:47.137133,11441.338000
640,2014-01-07,20:56:55.775221,8638.088000
641,2014-01-07,20:57:04.896600,9121.379000
642,2014-01-07,20:57:14.668187,9771.587000
643,2014-01-07,20:57:24.543852,9875.665000
644,2014-01-07,20:57:34.455615,9911.763000
645,2014-01-07,20:57:43.882914,9427.299000
646,2014-01-07,20:57:53.515903,9632.989000
647,2014-01-07,20:58:03.687966,10172.063000
648,2014-01-07,20:58:13.457565,9769.599000
649,2014-01-07,20:58:23.873165,10415.600000
650,2014-01-07,20:58:34.131593,10258.428000
651,2014-01-07,20:58:44.836908,10705.315000
652,2014-01-07,20:58:55.281533,10444.625000
653,2014-01-07,20:59:05.665244,10383.711000
654,2014-01-07,20:59:15.249710,9584.466000
655,2014-01-07,20:59:25.399307,10149.597000
656,2014-01-07,20:59:35.655689,10256.382000
657,2014-01-07,20:59:45.114408,9458.719000
658,2014-01-07,20:59:55.113005,9998.597000
659,2014-01-07,21:00:04.798430,9685.425000
660,2014-01-07,21:00:14.895808,10097.378000
661,2014-01-07,21:00:24.763620,9867.812000
662,2014-01-07,21:01:53.470158,88706.538000
663,2014-01-07,21:02:05.176446,11706.288000
664,2014-01-07,21:02:15.344543,10168.097000
665,2014-01-07,21:02:27.175835,11831.292000
666,2014-01-07,21:02:38.749239,11573.404000
667,2014-01-07,21:02:47.580782,8831.543000
668,2014-01-07,21:02:57.577571,9996.789000
669,2014-01-07,21:03:06.345004,8767.433000
670,2014-01-07,21:03:21.584946,15239.942000
671,2014-01-07,21:03:56.864750,35279.804000
672,2014-01-07,21:04:06.205495,9340.745000
673,2014-01-07,21:04:16.103858,9898.363000
674,2014-01-07,21:05:22.701285,66597.427000
675,2014-01-07,21:06:51.766199,89064.914000
676,2014-01-07,21:08:18.348731,86582.532000
677,2014-01-07,21:08:28.082439,9733.708000
678,2014-01-07,21:08:37.724065,9641.626000
679,2014-01-07,21:08:47.480377,9756.312000
680,2014-01-07,21:11:06.439229,138958.852000
681,2014-01-07,21:11:15.932870,9493.641000
682,2014-01-07,21:11:26.512310,10579.440000
683,2014-01-07,21:11:36.340038,9827.728000
684,2014-01-07,21:11:46.968526,10628.488000
685,2014-01-07,21:11:56.340916,9372.390000
686,2014-01-07,21:12:05.903741,9562.825000
687,2014-01-07,21:12:15.241299,9337.558000
688,2014-01-07,21:12:25.323215,10081.916000
689,2014-01-07,21:12:34.269350,8946.135000
690,2014-01-07,21:12:43.420671,9151.321000
691,2014-01-07,21:12:52.525784,9105.113000
692,2014-01-07,21:14:15.642916,83117.132000
693,2014-01-07,21:14:26.301244,10658.328000
694,2014-01-07,21:14:36.883570,10582.326000
695,2014-01-07,21:14:46.123338,9239.768000
696,2014-01-07,21:14:56.622699,10499.361000
697,2014-01-07,21:15:05.930519,9307.820000
698,2014-01-07,21:15:16.578067,10647.548000
699,2014-01-07,21:15:26.543349,9965.282000
700,2014-01-07,21:15:36.825947,10282.598000
701,2014-01-07,21:15:46.387570,9561.623000
702,2014-01-07,21:15:55.460415,9072.845000
703,2014-01-07,21:16:05.103931,9643.516000
704,2014-01-07,21:16:17.600017,12496.086000
705,2014-01-07,21:16:26.484883,8884.866000
706,2014-01-07,21:16:35.948298,9463.415000
707,2014-01-07,21:16:45.901869,9953.571000
708,2014-01-07,21:16:55.715437,9813.568000
709,2014-01-07,21:17:04.516342,8800.905000
710,2014-01-07,21:17:14.486782,9970.440000
711,2014-01-07,21:17:26.519017,12032.235000
712,2014-01-07,21:17:36.144625,9625.608000
713,2014-01-07,21:17:44.975512,8830.887000
714,2014-01-07,21:17:54.772826,9797.314000
715,2014-01-07,21:18:47.465325,52692.499000
716,2014-01-07,21:19:01.101288,13635.963000
717,2014-01-07,21:19:11.682710,10581.422000
718,2014-01-07,21:19:22.048111,10365.401000
719,2014-01-07,21:19:33.664686,11616.575000
720,2014-01-07,21:19:44.901912,11237.226000
721,2014-01-07,21:19:56.553131,11651.219000
722,2014-01-07,21:20:08.269395,11716.264000
723,2014-01-07,21:20:20.253770,11984.375000
724,2014-01-07,21:20:30.210191,9956.421000
725,2014-01-07,21:20:42.643405,12433.214000
726,2014-01-07,21:20:54.053835,11410.430000
727,2014-01-07,21:21:06.713964,12660.129000
728,2014-01-07,21:21:18.067281,11353.317000
729,2014-01-07,21:21:30.901330,12834.049000
730,2014-01-07,21:21:41.804855,10903.525000
731,2014-01-07,21:21:51.869251,10064.396000
732,2014-01-07,21:22:06.847184,14977.933000
733,2014-01-07,21:22:45.555563,38708.379000
734,2014-01-07,21:22:56.807922,11252.359000
735,2014-01-07,21:23:07.833577,11025.655000
736,2014-01-07,21:23:18.211203,10377.626000
737,2014-01-07,21:23:27.085736,8874.533000
738,2014-01-07,21:23:36.685110,9599.374000
739,2014-01-07,21:23:46.398041,9712.931000
740,2014-01-07,21:23:55.980395,9582.354000
741,2014-01-07,21:24:06.430367,10449.972000
742,2014-01-07,21:24:15.637538,9207.171000
743,2014-01-07,21:24:24.764996,9127.458000
744,2014-01-07,21:24:34.288706,9523.710000
745,2014-01-07,21:24:44.462563,10173.857000
746,2014-01-07,21:24:54.108921,9646.358000
747,2014-01-07,21:25:04.413400,10304.479000
748,2014-01-07,21:25:14.264899,9851.499000
749,2014-01-07,21:25:22.911082,8646.183000
750,2014-01-07,21:25:32.645264,9734.182000
751,2014-01-07,21:25:42.455287,9810.023000
752,2014-01-07,21:25:51.877649,9422.362000
753,2014-01-07,21:27:05.198081,73320.432000
754,2014-01-07,21:27:17.606138,12408.057000
755,2014-01-07,21:27:28.294506,10688.368000
756,2014-01-07,21:27:39.433907,11139.401000
757,2014-01-07,21:27:50.780816,11346.909000
758,2014-01-07,21:28:01.424069,10643.253000
759,2014-01-07,21:28:12.395241,10971.172000
760,2014-01-07,21:28:24.028592,11633.351000
761,2014-01-07,21:28:35.971849,11943.257000
762,2014-01-07,21:28:47.272291,11300.442000
763,2014-01-07,21:28:57.541702,10269.411000
764,2014-01-07,21:29:08.171233,10629.531000
765,2014-01-07,21:29:20.943307,12772.074000
766,2014-01-07,21:29:32.070701,11127.394000
767,2014-01-07,21:29:43.688168,11617.467000
768,2014-01-07,21:29:55.588379,11900.211000
769,2014-01-07,21:30:06.302393,10714.014000
770,2014-01-07,21:30:18.220069,11917.676000
771,2014-01-07,21:30:29.656546,11436.477000
772,2014-01-07,21:30:41.181901,11525.355000
773,2014-01-07,21:30:52.955140,11773.239000
774,2014-01-07,21:31:03.500630,10545.490000
775,2014-01-07,21:31:15.045771,11545.141000
776,2014-01-07,21:31:28.604985,13559.214000
777,2014-01-07,21:31:40.276653,11671.668000
778,2014-01-07,21:31:51.565847,11289.194000
779,2014-01-07,21:32:03.523858,11958.011000
780,2014-01-07,21:33:55.785639,112261.781000
781,2014-01-07,21:34:04.789303,9003.664000
782,2014-01-07,21:34:14.397937,9608.634000
783,2014-01-07,21:34:24.331534,9933.597000
784,2014-01-07,21:34:35.326992,10995.458000
785,2014-01-07,21:34:44.328615,9001.623000
786,2014-01-07,21:34:53.317600,8988.985000
787,2014-01-07,21:35:03.843797,10526.197000
788,2014-01-07,21:35:13.488357,9644.560000
789,2014-01-07,21:35:24.351100,10862.743000
790,2014-01-07,21:35:36.273270,11922.170000
791,2014-01-07,21:35:45.456804,9183.534000
792,2014-01-07,21:35:54.889485,9432.681000
793,2014-01-07,21:36:03.855250,8965.765000
794,2014-01-07,21:36:13.276839,9421.589000
795,2014-01-07,21:36:23.897417,10620.578000
796,2014-01-07,21:36:33.624977,9727.560000
797,2014-01-07,21:36:42.216643,8591.666000
798,2014-01-07,21:36:51.089410,8872.767000
799,2014-01-07,21:37:00.372320,9282.910000
800,2014-01-07,21:37:10.649570,10277.250000
801,2014-01-07,21:37:20.226619,9577.049000
802,2014-01-07,21:37:29.992951,9766.332000
803,2014-01-07,21:37:39.898389,9905.438000
804,2014-01-07,21:37:48.637226,8738.837000
805,2014-01-07,21:37:57.891027,9253.801000
806,2014-01-07,21:38:07.630326,9739.299000
807,2014-01-07,21:38:17.379020,9748.694000
808,2014-01-07,21:44:45.266777,387887.757000
809,2014-01-07,21:44:56.870355,11603.578000
810,2014-01-07,21:45:09.203627,12333.272000
811,2014-01-07,21:45:21.009712,11806.085000
812,2014-01-07,21:45:32.636132,11626.420000
813,2014-01-07,21:45:43.669444,11033.312000
814,2014-01-07,21:45:55.488649,11819.205000
815,2014-01-07,21:46:07.163169,11674.520000
816,2014-01-07,21:46:18.894367,11731.198000
817,2014-01-07,21:46:30.509715,11615.348000
818,2014-01-07,21:46:41.143266,10633.551000
819,2014-01-07,21:46:52.053951,10910.685000
820,2014-01-07,21:47:04.879680,12825.729000
821,2014-01-07,21:47:16.187102,11307.422000
822,2014-01-07,21:47:27.980640,11793.538000
823,2014-01-07,21:47:38.355879,10375.239000
824,2014-01-07,21:47:49.135251,10779.372000
825,2014-01-07,21:48:01.866676,12731.425000
826,2014-01-07,21:48:14.333713,12467.037000
827,2014-01-07,21:48:25.784919,11451.206000
828,2014-01-07,21:48:37.202410,11417.491000
829,2014-01-07,21:48:49.201732,11999.322000
830,2014-01-07,21:49:01.009966,11808.234000
831,2014-01-07,21:49:11.729386,10719.420000
832,2014-01-07,21:49:23.233713,11504.327000
833,2014-01-07,21:49:34.946014,11712.301000
834,2014-01-07,21:49:44.314718,9368.704000
835,2014-01-07,21:49:53.317526,9002.808000
836,2014-01-07,21:50:02.944948,9627.422000
837,2014-01-07,21:50:12.994519,10049.571000
838,2014-01-07,21:50:24.482063,11487.544000
839,2014-01-07,21:50:34.885200,10403.137000
840,2014-01-07,21:50:44.055012,9169.812000
841,2014-01-07,21:50:54.712716,10657.704000
842,2014-01-07,21:51:03.819162,9106.446000
843,2014-01-07,21:51:13.956816,10137.654000
844,2014-01-07,21:51:24.059288,10102.472000
845,2014-01-07,21:51:34.017896,9958.608000
846,2014-01-07,21:51:43.279459,9261.563000
847,2014-01-07,21:51:53.654965,10375.506000
848,2014-01-07,21:52:03.631460,9976.495000
849,2014-01-07,21:52:14.559995,10928.535000
850,2014-01-07,21:52:24.725691,10165.696000
851,2014-01-07,21:52:37.217926,12492.235000
852,2014-01-07,21:52:46.233364,9015.438000
853,2014-01-07,21:52:55.935546,9702.182000
854,2014-01-07,21:53:05.345616,9410.070000
855,2014-01-07,21:53:15.845049,10499.433000
856,2014-01-07,21:53:25.552708,9707.659000
857,2014-01-07,21:53:34.616404,9063.696000
858,2014-01-07,21:53:45.124863,10508.459000
859,2014-01-07,21:53:54.043916,8919.053000
860,2014-01-07,21:54:03.718151,9674.235000
861,2014-01-07,21:54:13.520846,9802.695000
862,2014-01-07,21:54:23.165366,9644.520000
863,2014-01-07,21:55:00.945895,37780.529000
864,2014-01-07,21:55:11.250390,10304.495000
865,2014-01-07,21:55:22.444996,11194.606000
866,2014-01-07,21:55:35.485847,13040.851000
867,2014-01-07,21:55:45.636435,10150.588000
868,2014-01-07,21:55:56.858022,11221.587000
869,2014-01-07,21:56:05.863623,9005.601000
870,2014-01-07,21:56:15.768406,9904.783000
871,2014-01-07,21:56:27.393453,11625.047000
872,2014-01-07,21:56:48.287404,20893.951000
873,2014-01-07,21:57:00.433526,12146.122000
874,2014-01-07,21:57:10.379229,9945.703000
875,2014-01-07,21:57:20.155656,9776.427000
876,2014-01-07,21:57:29.469345,9313.689000
877,2014-01-07,21:57:38.919010,9449.665000
878,2014-01-07,21:57:49.123585,10204.575000
879,2014-01-07,21:58:00.190132,11066.547000
880,2014-01-07,21:58:10.078581,9888.449000
881,2014-01-07,21:58:19.199197,9120.616000
882,2014-01-07,21:58:29.382009,10182.812000
883,2014-01-07,21:58:39.160304,9778.295000
884,2014-01-07,21:58:48.778192,9617.888000
885,2014-01-07,21:58:58.727636,9949.444000
886,2014-01-07,22:00:01.400331,62672.695000
887,2014-01-07,22:00:13.024848,11624.517000
888,2014-01-07,22:00:23.726153,10701.305000
889,2014-01-07,22:00:33.613714,9887.561000
890,2014-01-07,22:00:45.553049,11939.335000
891,2014-01-07,22:00:58.141247,12588.198000
892,2014-01-07,22:08:17.345139,11319.615000
893,2014-01-07,22:08:27.127491,9782.352000
894,2014-01-07,22:08:37.107018,9979.527000
895,2014-01-07,22:08:48.154701,11047.683000
896,2014-01-07,22:09:24.260251,36105.550000
897,2014-01-07,22:09:37.968270,13708.019000
898,2014-01-07,22:09:47.918011,9949.741000
899,2014-01-07,22:09:56.904378,8986.367000
900,2014-01-07,22:10:06.072239,9167.861000
901,2014-01-07,22:10:18.816404,12744.165000
902,2014-01-07,22:10:29.391837,10575.433000
903,2014-01-07,22:10:39.185258,9793.421000
904,2014-01-07,22:10:48.654008,9468.750000
905,2014-01-07,22:10:57.697668,9043.660000
906,2014-01-07,22:11:06.629438,8931.770000
907,2014-01-07,22:11:16.888820,10259.382000
908,2014-01-07,22:11:26.053604,9164.784000
909,2014-01-07,22:11:35.277149,9223.545000
910,2014-01-07,22:11:57.961984,22684.835000
911,2014-01-07,22:12:40.990840,43028.856000
912,2014-01-07,22:13:19.778277,38787.437000
913,2014-01-07,22:13:30.685580,10907.303000
914,2014-01-07,22:13:40.355090,9669.510000
915,2014-01-07,22:13:50.033759,9678.669000
916,2014-01-07,22:13:59.414538,9380.779000
917,2014-01-07,22:16:37.388601,157974.063000
918,2014-01-07,22:16:57.850658,20462.057000
919,2014-01-07,22:17:10.484761,12634.103000
920,2014-01-07,22:17:21.353348,10868.587000
921,2014-01-07,22:17:30.829918,9476.570000
922,2014-01-07,22:17:42.858133,12028.215000
923,2014-01-07,22:17:56.327191,13469.058000
924,2014-01-07,22:18:07.817636,11490.445000
925,2014-01-07,22:18:19.812731,11995.095000
926,2014-01-07,22:18:29.746369,9933.638000
927,2014-01-07,22:18:39.093894,9347.525000
928,2014-01-07,22:18:48.064684,8970.790000
929,2014-01-07,22:18:57.762328,9697.644000
930,2014-01-07,22:19:06.818964,9056.636000
931,2014-01-07,22:19:16.369694,9550.730000
932,2014-01-07,22:19:26.759041,10389.347000
933,2014-01-07,22:19:36.735631,9976.590000
934,2014-01-07,22:19:46.030846,9295.215000
935,2014-01-07,22:19:55.211026,9180.180000
936,2014-01-07,22:20:04.407686,9196.660000
937,2014-01-07,22:20:15.002273,10594.587000
938,2014-01-07,22:20:24.527112,9524.839000
939,2014-01-07,22:20:34.876204,10349.092000
940,2014-01-07,22:20:45.146816,10270.612000
941,2014-01-07,22:20:55.467364,10320.548000
942,2014-01-07,22:21:04.535072,9067.708000
943,2014-01-07,22:21:16.207304,11672.232000
944,2014-01-07,22:21:25.904851,9697.547000
945,2014-01-07,22:21:35.720579,9815.728000
946,2014-01-07,22:21:45.704247,9983.668000
947,2014-01-07,22:21:59.113135,13408.888000
948,2014-01-07,22:22:08.939761,9826.626000
949,2014-01-07,22:22:18.682308,9742.547000
950,2014-01-07,22:22:28.417851,9735.543000
951,2014-01-07,22:22:37.972758,9554.907000
952,2014-01-07,22:23:10.973141,33000.383000
953,2014-01-07,22:23:19.370584,8397.443000
954,2014-01-07,22:23:28.976070,9605.486000
955,2014-01-07,22:23:39.319469,10343.399000
956,2014-01-07,22:23:48.997641,9678.172000
957,2014-01-07,22:23:58.001900,9004.259000
958,2014-01-07,22:24:06.929727,8927.827000
959,2014-01-07,22:24:15.771385,8841.658000
960,2014-01-07,22:24:25.762882,9991.497000
961,2014-01-07,22:24:35.417506,9654.624000
962,2014-01-07,22:24:45.563048,10145.542000
963,2014-01-07,22:24:57.080294,11517.246000
964,2014-01-07,22:25:07.026791,9946.497000
965,2014-01-07,22:25:16.079670,9052.879000
966,2014-01-07,22:25:25.375499,9295.829000
967,2014-01-07,22:25:34.997872,9622.373000
968,2014-01-07,22:25:44.000762,9002.890000
969,2014-01-07,22:25:53.577168,9576.406000
970,2014-01-07,22:26:03.007136,9429.968000
971,2014-01-07,22:26:13.143283,10136.147000
972,2014-01-07,22:26:22.651267,9507.984000
973,2014-01-07,22:26:32.240602,9589.335000
974,2014-01-07,22:26:41.563615,9323.013000
975,2014-01-07,22:26:51.347918,9784.303000
976,2014-01-07,22:27:29.164206,37816.288000
977,2014-01-07,22:27:43.019275,13855.069000
978,2014-01-07,22:27:54.864466,11845.191000
979,2014-01-07,22:28:05.971863,11107.397000
980,2014-01-07,22:28:16.906569,10934.706000
981,2014-01-07,22:28:27.217927,10311.358000
982,2014-01-07,22:28:38.566222,11348.295000
983,2014-01-07,22:28:52.034286,13468.064000
984,2014-01-07,22:29:02.866612,10832.326000
985,2014-01-07,22:29:12.998200,10131.588000
986,2014-01-07,22:29:24.405669,11407.469000
987,2014-01-07,22:29:35.340806,10935.137000
988,2014-01-07,22:29:44.874630,9533.824000
989,2014-01-07,22:30:19.412654,34538.024000
990,2014-01-07,22:30:32.037796,12625.142000
991,2014-01-07,22:30:41.282372,9244.576000
992,2014-01-07,22:30:51.886984,10604.612000
993,2014-01-07,22:31:05.179041,13292.057000
994,2014-01-07,22:31:23.318333,18139.292000
995,2014-01-07,22:32:27.366235,64047.902000
996,2014-01-07,22:32:38.706401,11340.166000
997,2014-01-07,22:32:52.658505,13952.104000
998,2014-01-07,22:33:04.300620,11642.115000
